id,value
DesignPhases,
DesignPhases.Deliver,
DesignPhases.Deliver.Generate,
DesignPhases.Deliver.Generate.ChatGPT,3
DesignPhases.Deliver.Generate.Components_ai,4
DesignPhases.Deliver.Generate.Midjouney,5
DesignPhases.Deliver.Generate.Jasper_ai,6
DesignPhases.Deliver.Generate.DeBuild,7
DesignPhases.Deliver.Generate.Codex,8
DesignPhases.Deliver.Generate.Copy_ai,9
DesignPhases.Deliver.Generate.Anyword,10
DesignPhases.Deliver.Generate.Notion_AI,11
DesignPhases.Deliver.Generate.Subly,12
DesignPhases.Deliver.Generate.Open_AI_in_Spreadsheet,13
DesignPhases.Deliver.Generate.Fig_GPT_Figma_Plugin,14
DesignPhases.Deliver.Generate.Mintlify,15
DesignPhases.Deliver.Generate.Fact_GPT,16
DesignPhases.Deliver.Generate.TrainEngine_ai,17
DesignPhases.Deliver.Generate.Jot_App,18
DesignPhases.Deliver.Generate.DayDrm,19
DesignPhases.Deliver.Generate.Artflow,20
DesignPhases.Deliver.Generate.Iconify,21
DesignPhases.Deliver.Generate.AppIcons_ai,22
DesignPhases.Deliver.Generate.Flutterflow_AI_Gen,23
DesignPhases.Deliver.Generate.Sutro,24
DesignPhases.Deliver.Generate.weTune,25
DesignPhases.Deliver.Generate.Code_Generator_for_Arduino,26
DesignPhases.Deliver.Generate.NeauralText,27
DesignPhases.Deliver.Generate.Autoblogger_ai,28
DesignPhases.Deliver.Generate.Reword,29
DesignPhases.Deliver.Generate.AI_Reality,30
DesignPhases.Deliver.Generate.Krikey_AI,31
DesignPhases.Deliver.Generate.Text_to_Book_Cover,32
DesignPhases.Deliver.Generate.Penelope_ai,33
DesignPhases.Deliver.Generate.Visily,34
DesignPhases.Deliver.Generate.Generated_photos,35
DesignPhases.Deliver.Generate.Batternut_AI,36
DesignPhases.Deliver.Generate.Durable,37
DesignPhases.Deliver.Generate.TeleportHQ,38
DesignPhases.Deliver.Generate.WZRD_ai,39
DesignPhases.Deliver.Optimize,
DesignPhases.Deliver.Optimize.Playform_ai,41
DesignPhases.Deliver.Optimize.Lunacy,42
DesignPhases.Deliver.Optimize.Anyword,43
DesignPhases.Deliver.Optimize.Notion_AI,44
DesignPhases.Deliver.Optimize.Crystal,45
DesignPhases.Deliver.Optimize.Fylm_ai,46
DesignPhases.Deliver.Optimize.Colourlab_ai,47
DesignPhases.Deliver.Optimize.Topaz_Lab,48
DesignPhases.Deliver.Optimize.Mintlify,49
DesignPhases.Deliver.Optimize.TrainEngine_ai,50
DesignPhases.Deliver.Optimize.Reword,51
DesignPhases.Deliver.Optimize.Adobe_Speech_Enhancer,52
